id,time,side,price,qty,xchTime,date,time_elapsed
119,09:30:00.297000,,10.57,8868,34200297,2019-10-01,34200.297
118,09:30:00.297000,SELL,10.58,715,34200297,2019-10-01,34200.297
725,09:30:28.313000,SELL,10.57,102,34228313,2019-10-01,34228.313
815,09:31:20.895000,SELL,10.56,2,34280895,2019-10-01,34280.895
846,09:31:26.001000,SELL,10.55,970,34286001,2019-10-01,34286.001
908,09:31:46.575000,BUY,10.55,100,34306575,2019-10-01,34306.575
1008,09:32:09.424000,SELL,10.55,100,34329424,2019-10-01,34329.424
1010,09:32:09.424000,SELL,10.55,2,34329424,2019-10-01,34329.424
1049,09:32:11,BUY,10.55,500,34331000,2019-10-01,34331.0
1053,09:32:11,BUY,10.55,100,34331000,2019-10-01,34331.0
1103,09:32:18.018000,BUY,10.55,300,34338018,2019-10-01,34338.018
1201,09:32:29.847000,SELL,10.57,300,34349847,2019-10-01,34349.847
1328,09:33:00.013000,SELL,10.55,2,34380013,2019-10-01,34380.013
1390,09:33:18.496000,BUY,10.55,354,34398496,2019-10-01,34398.496
1635,09:34:00.210000,BUY,10.58,500,34440210,2019-10-01,34440.21
1671,09:34:01.597000,BUY,10.59,100,34441597,2019-10-01,34441.597
1967,09:35:22.289000,SELL,10.6,400,34522289,2019-10-01,34522.289
1761,09:34:21.452000,BUY,10.6,22,34461452,2019-10-01,34461.452
1971,09:35:22.289000,SELL,10.6,1217,34522289,2019-10-01,34522.289
1973,09:35:22.289000,SELL,10.6,398,34522289,2019-10-01,34522.289
1975,09:35:22.289000,SELL,10.6,2,34522289,2019-10-01,34522.289
2025,09:35:22.301000,BUY,10.6,900,34522301,2019-10-01,34522.301
2048,09:35:22.303000,BUY,10.6,500,34522303,2019-10-01,34522.303
2068,09:35:22.594000,BUY,10.61,200,34522594,2019-10-01,34522.594
2072,09:35:22.594000,BUY,10.61,100,34522594,2019-10-01,34522.594
2074,09:35:22.594000,BUY,10.61,100,34522594,2019-10-01,34522.594
2076,09:35:22.594000,BUY,10.61,100,34522594,2019-10-01,34522.594
2078,09:35:22.594000,BUY,10.61,100,34522594,2019-10-01,34522.594
2080,09:35:22.594000,BUY,10.61,800,34522594,2019-10-01,34522.594
2082,09:35:22.594000,BUY,10.61,100,34522594,2019-10-01,34522.594
2127,09:35:25.901000,BUY,10.61,200,34525901,2019-10-01,34525.901
2132,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2135,09:35:25.901000,BUY,10.61,32,34525901,2019-10-01,34525.901
2137,09:35:25.901000,BUY,10.61,68,34525901,2019-10-01,34525.901
2139,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2141,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2143,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2173,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2175,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2177,09:35:25.901000,BUY,10.61,100,34525901,2019-10-01,34525.901
2270,09:35:33.129000,SELL,10.61,200,34533129,2019-10-01,34533.129
2274,09:35:33.129000,SELL,10.61,500,34533129,2019-10-01,34533.129
2280,09:35:33.129000,SELL,10.61,100,34533129,2019-10-01,34533.129
2282,09:35:33.129000,SELL,10.61,1200,34533129,2019-10-01,34533.129
2344,09:35:35.905000,SELL,10.6,200,34535905,2019-10-01,34535.905
2348,09:35:35.905000,SELL,10.6,900,34535905,2019-10-01,34535.905
2521,09:35:58.560000,SELL,10.61,950,34558560,2019-10-01,34558.56
2392,09:35:39.122000,BUY,10.61,110,34539122,2019-10-01,34539.122
2525,09:35:58.560000,SELL,10.61,1000,34558560,2019-10-01,34558.56
2527,09:35:58.560000,SELL,10.61,100,34558560,2019-10-01,34558.56
3001,09:37:04.807000,SELL,10.63,300,34624807,2019-10-01,34624.807
2553,09:35:58.561000,BUY,10.61,410,34558561,2019-10-01,34558.561
3005,09:37:04.807000,SELL,10.63,2,34624807,2019-10-01,34624.807
3132,09:37:28.165000,BUY,10.63,200,34648165,2019-10-01,34648.165
3136,09:37:28.165000,BUY,10.63,300,34648165,2019-10-01,34648.165
3138,09:37:28.165000,BUY,10.63,100,34648165,2019-10-01,34648.165
3140,09:37:28.165000,BUY,10.63,100,34648165,2019-10-01,34648.165
3217,09:37:32.087000,BUY,10.64,200,34652087,2019-10-01,34652.087
3221,09:37:32.087000,BUY,10.64,100,34652087,2019-10-01,34652.087
3223,09:37:32.087000,BUY,10.64,100,34652087,2019-10-01,34652.087
3225,09:37:32.087000,BUY,10.64,100,34652087,2019-10-01,34652.087
3227,09:37:32.087000,BUY,10.64,89,34652087,2019-10-01,34652.087
3405,09:37:54.253000,SELL,10.64,200,34674253,2019-10-01,34674.253
3266,09:37:33.386000,BUY,10.64,100,34653386,2019-10-01,34653.386
3409,09:37:54.253000,SELL,10.64,100,34674253,2019-10-01,34674.253
3466,09:37:54.525000,BUY,10.64,300,34674525,2019-10-01,34674.525
3470,09:37:54.525000,BUY,10.64,200,34674525,2019-10-01,34674.525
3472,09:37:54.525000,BUY,10.64,100,34674525,2019-10-01,34674.525
3474,09:37:54.525000,BUY,10.64,100,34674525,2019-10-01,34674.525
3476,09:37:54.525000,BUY,10.64,100,34674525,2019-10-01,34674.525
3478,09:37:54.525000,BUY,10.64,200,34674525,2019-10-01,34674.525
3480,09:37:54.525000,BUY,10.64,400,34674525,2019-10-01,34674.525
3646,09:38:11.219000,SELL,10.64,201,34691219,2019-10-01,34691.219
3521,09:37:54.526000,BUY,10.65,140,34674526,2019-10-01,34674.526
3777,09:38:19.831000,SELL,10.64,1,34699831,2019-10-01,34699.831
3779,09:38:19.831000,SELL,10.64,100,34699831,2019-10-01,34699.831
3781,09:38:19.831000,SELL,10.64,100,34699831,2019-10-01,34699.831
3887,09:38:26.387000,BUY,10.64,130,34706387,2019-10-01,34706.387
3891,09:38:26.387000,BUY,10.64,300,34706387,2019-10-01,34706.387
3893,09:38:26.387000,BUY,10.64,170,34706387,2019-10-01,34706.387
3933,09:38:28.432000,SELL,10.63,300,34708432,2019-10-01,34708.432
4004,09:38:36.503000,BUY,10.64,600,34716503,2019-10-01,34716.503
4008,09:38:36.503000,BUY,10.64,100,34716503,2019-10-01,34716.503
4010,09:38:36.503000,BUY,10.64,100,34716503,2019-10-01,34716.503
4012,09:38:36.503000,BUY,10.64,100,34716503,2019-10-01,34716.503
4014,09:38:36.503000,BUY,10.64,100,34716503,2019-10-01,34716.503
4016,09:38:36.503000,BUY,10.64,100,34716503,2019-10-01,34716.503
4168,09:38:40.854000,SELL,10.63,300,34720854,2019-10-01,34720.854
4172,09:38:40.854000,SELL,10.63,17,34720854,2019-10-01,34720.854
4174,09:38:40.854000,SELL,10.63,86,34720854,2019-10-01,34720.854
4256,09:38:41.891000,SELL,10.62,200,34721891,2019-10-01,34721.891
4260,09:38:41.891000,SELL,10.62,100,34721891,2019-10-01,34721.891
4262,09:38:41.891000,SELL,10.62,100,34721891,2019-10-01,34721.891
4264,09:38:41.891000,SELL,10.62,100,34721891,2019-10-01,34721.891
4266,09:38:41.891000,SELL,10.62,100,34721891,2019-10-01,34721.891
4268,09:38:41.891000,SELL,10.62,100,34721891,2019-10-01,34721.891
4270,09:38:41.891000,SELL,10.62,100,34721891,2019-10-01,34721.891
4357,09:38:43.617000,BUY,10.62,1100,34723617,2019-10-01,34723.617
4361,09:38:43.617000,BUY,10.62,100,34723617,2019-10-01,34723.617
4363,09:38:43.617000,BUY,10.62,600,34723617,2019-10-01,34723.617
4365,09:38:43.617000,BUY,10.62,300,34723617,2019-10-01,34723.617
4367,09:38:43.617000,BUY,10.62,1000,34723617,2019-10-01,34723.617
4436,09:38:45.399000,SELL,10.62,301,34725399,2019-10-01,34725.399
4511,09:38:46.496000,BUY,10.62,200,34726496,2019-10-01,34726.496
4515,09:38:46.496000,BUY,10.62,300,34726496,2019-10-01,34726.496
4585,09:38:46.934000,BUY,10.63,700,34726934,2019-10-01,34726.934
4589,09:38:46.934000,BUY,10.63,600,34726934,2019-10-01,34726.934
4591,09:38:46.934000,BUY,10.63,100,34726934,2019-10-01,34726.934
4593,09:38:46.934000,BUY,10.63,100,34726934,2019-10-01,34726.934
4595,09:38:46.934000,BUY,10.63,200,34726934,2019-10-01,34726.934
