id,time,side,price,qty,xchTime,date,time_elapsed
80,09:30:00.637000,,10.07,10162,34200637,2019-10-03,34200.637
746,09:31:10.424000,BUY,10.0,300,34270424,2019-10-03,34270.424
770,09:31:10.587000,BUY,10.0,200,34270587,2019-10-03,34270.587
789,09:31:10.587000,BUY,10.0,100,34270587,2019-10-03,34270.587
791,09:31:10.587000,BUY,10.0,100,34270587,2019-10-03,34270.587
799,09:31:10.588000,SELL,10.0,100,34270588,2019-10-03,34270.588
822,09:31:12.110000,BUY,10.0,600,34272110,2019-10-03,34272.11
869,09:31:22.167000,BUY,10.0,200,34282167,2019-10-03,34282.167
915,09:31:28.161000,BUY,10.01,116,34288161,2019-10-03,34288.161
920,09:31:28.161000,BUY,10.01,100,34288161,2019-10-03,34288.161
943,09:31:28.409000,BUY,10.03,600,34288409,2019-10-03,34288.409
1085,09:31:48.442000,SELL,10.03,200,34308442,2019-10-03,34308.442
1008,09:31:29.538000,BUY,10.05,600,34289538,2019-10-03,34289.538
1134,09:32:00.380000,SELL,10.02,248,34320380,2019-10-03,34320.38
1155,09:32:00.390000,SELL,10.01,100,34320390,2019-10-03,34320.39
1183,09:32:01.980000,SELL,10.0,100,34321980,2019-10-03,34321.98
1216,09:32:05.543000,BUY,10.0,2300,34325543,2019-10-03,34325.543
1220,09:32:05.543000,BUY,10.0,500,34325543,2019-10-03,34325.543
1232,09:32:05.543000,BUY,10.0,78,34325543,2019-10-03,34325.543
1272,09:32:09.686000,BUY,10.01,102,34329686,2019-10-03,34329.686
1276,09:32:09.686000,BUY,10.01,200,34329686,2019-10-03,34329.686
1278,09:32:09.686000,BUY,10.01,98,34329686,2019-10-03,34329.686
1280,09:32:09.686000,BUY,10.01,2,34329686,2019-10-03,34329.686
1333,09:32:09.875000,BUY,10.03,361,34329875,2019-10-03,34329.875
1403,09:32:10.975000,BUY,10.04,400,34330975,2019-10-03,34330.975
1450,09:32:12.901000,BUY,10.04,100,34332901,2019-10-03,34332.901
1452,09:32:12.901000,BUY,10.04,100,34332901,2019-10-03,34332.901
1481,09:32:13.069000,BUY,10.04,200,34333069,2019-10-03,34333.069
1485,09:32:13.069000,BUY,10.04,100,34333069,2019-10-03,34333.069
1500,09:32:13.071000,SELL,10.04,100,34333071,2019-10-03,34333.071
1548,09:32:23.211000,BUY,10.04,100,34343211,2019-10-03,34343.211
1637,09:32:31.178000,SELL,10.05,76,34351178,2019-10-03,34351.178
1614,09:32:31.178000,BUY,10.06,100,34351178,2019-10-03,34351.178
1640,09:32:31.178000,SELL,10.05,24,34351178,2019-10-03,34351.178
1740,09:32:59.502000,BUY,10.04,176,34379502,2019-10-03,34379.502
1744,09:32:59.502000,BUY,10.04,24,34379502,2019-10-03,34379.502
1746,09:32:59.502000,BUY,10.04,100,34379502,2019-10-03,34379.502
1850,09:33:13.331000,BUY,10.06,300,34393331,2019-10-03,34393.331
1963,09:33:25.112000,BUY,10.08,278,34405112,2019-10-03,34405.112
2044,09:33:29.711000,SELL,10.09,200,34409711,2019-10-03,34409.711
2026,09:33:29.710000,BUY,10.09,100,34409710,2019-10-03,34409.71
2059,09:33:29.782000,BUY,10.09,200,34409782,2019-10-03,34409.782
2063,09:33:29.782000,BUY,10.09,100,34409782,2019-10-03,34409.782
2161,09:33:41.087000,SELL,10.1,700,34421087,2019-10-03,34421.087
