id,time,side,price,qty,xchTime,date,time_elapsed
74,09:30:00.977000,,10.21,9966,34200977,2019-10-02,34200.977
562,09:30:18.678000,BUY,10.22,2,34218678,2019-10-02,34218.678
554,09:30:18.678000,SELL,10.21,100,34218678,2019-10-02,34218.678
669,09:30:51.531000,SELL,10.2,200,34251531,2019-10-02,34251.531
680,09:30:51.531000,BUY,10.22,19,34251531,2019-10-02,34251.531
685,09:30:51.531000,BUY,10.21,100,34251531,2019-10-02,34251.531
687,09:30:51.531000,BUY,10.22,1,34251531,2019-10-02,34251.531
693,09:30:51.531000,BUY,10.22,80,34251531,2019-10-02,34251.531
695,09:30:51.531000,BUY,10.22,20,34251531,2019-10-02,34251.531
697,09:30:51.531000,BUY,10.22,19,34251531,2019-10-02,34251.531
722,09:30:51.539000,BUY,10.22,27,34251539,2019-10-02,34251.539
709,09:30:51.532000,SELL,10.21,319,34251532,2019-10-02,34251.532
797,09:31:04.091000,SELL,10.2,100,34264091,2019-10-02,34264.091
800,09:31:04.091000,SELL,10.2,100,34264091,2019-10-02,34264.091
924,09:32:05.107000,SELL,10.19,200,34325107,2019-10-02,34325.107
1172,09:32:34.758000,BUY,10.17,200,34354758,2019-10-02,34354.758
1195,09:32:34.759000,BUY,10.18,200,34354759,2019-10-02,34354.759
1199,09:32:34.759000,BUY,10.18,100,34354759,2019-10-02,34354.759
1201,09:32:34.759000,BUY,10.18,100,34354759,2019-10-02,34354.759
1265,09:32:37.714000,BUY,10.19,300,34357714,2019-10-02,34357.714
1398,09:32:39.429000,BUY,10.2,300,34359429,2019-10-02,34359.429
1353,09:32:39.348000,SELL,10.2,100,34359348,2019-10-02,34359.348
1609,09:33:12.066000,SELL,10.17,300,34392066,2019-10-02,34392.066
1613,09:33:12.066000,SELL,10.17,100,34392066,2019-10-02,34392.066
1615,09:33:12.066000,SELL,10.17,100,34392066,2019-10-02,34392.066
1617,09:33:12.066000,SELL,10.17,100,34392066,2019-10-02,34392.066
1619,09:33:12.066000,SELL,10.17,100,34392066,2019-10-02,34392.066
1672,09:33:12.159000,BUY,10.17,200,34392159,2019-10-02,34392.159
1676,09:33:12.159000,BUY,10.17,800,34392159,2019-10-02,34392.159
1697,09:33:12.162000,SELL,10.17,800,34392162,2019-10-02,34392.162
1701,09:33:12.162000,SELL,10.17,400,34392162,2019-10-02,34392.162
1703,09:33:12.162000,SELL,10.17,100,34392162,2019-10-02,34392.162
1772,09:33:14.339000,BUY,10.17,400,34394339,2019-10-02,34394.339
1777,09:33:14.339000,BUY,10.17,100,34394339,2019-10-02,34394.339
1836,09:33:15.559000,BUY,10.18,300,34395559,2019-10-02,34395.559
1886,09:33:16.068000,SELL,10.18,400,34396068,2019-10-02,34396.068
